created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-01 00:06:18+00:00,RT @spectatorindex: BREAKING: 35 new coronavirus deaths in China,iKrys74l,chandigarh india,Judge yourself..enjoy!,136,276,25943,False,BREAKING: 35 new coronavirus deaths in China
2020-03-01 00:06:43+00:00,RT @aliostad: Coronavirus epidemy in Iran has past the crisis level. The country is imploding - law and order to disappear in the next days…,UrbanCowists,india,Engineer on paper|Banker by chance| Aspire to be Artist|Habitual Gym goer |Science amazes me|Strong opinions|Loosely held|Good books and movies|Life sahin hai|,116,269,7208,False,Coronavirus epidemy in Iran has past the crisis level. The country is imploding - law and order to disappear in the next days. A number of officials already died and mass infection among hospital staff and police forces reported.
2020-03-01 00:06:47+00:00,@anirudha136 Much of our exports of raw materials is to China too. A slow down in their industry and hence their off take will have a braking effect on our economy. A worldwide contraction in economy will also lead to loss of jobs for Indians abroad and reduce inflows in India.,anil_hebbar,thane india,"Entrepreneurship, Environment, Sustainability, Health & Healing, Contested LS Election 2019 to focus on Solid Waste Management.",1063,2009,2911,False,
2020-03-01 00:06:52+00:00,"RT @jaketapper: Most people who contract Coronavirus experience a flu like situation, Dr. Fauci says, and will be OK.

15-20% of those who…",sonikkalogan27,chennai india,"news junkie by way of washington dc • ISO reporting or producing jobs in 🇮🇳 • past: @CNN, @VOANews, @ndtv, @theeagleonline • @AU_SOC • retweets ≠ endorsements",265,1279,7092,False,"Most people who contract Coronavirus experience a flu like situation, Dr. Fauci says, and will be OK.

15-20% of those who contract will need hospitalization. 

The vast majority of people who ""get into trouble"" are of advanced age and/or had previous underlying conditions."
2020-03-01 00:07:26+00:00,silver linings? https://t.co/bKfZHbWGAU,truefederista,india,roger federer's well being affects my well being {she/her},910,737,45239,False,
2020-03-01 00:24:38+00:00,"On Stage, Telangana Ministers Eat Chicken To Dispel Coronavirus Fears https://t.co/UUelxGlEGo via @ndtv",Nathealings,delhi india,"# He has the most, who is content with the least - Buddha,   
# Healing with Smiles and Emotional Therapy.",7357,4064,172015,False,
2020-03-01 00:24:44+00:00,"RT @shukla_tarun: New :

- India suspends all kinds of visas issued to Iran so far.

- Visas to all foreign nationals who have travelled to…",paharipant,india,"None of my Tweets, Retweets, Likes are endorsements
""हिन्दु तन मन हिन्दु जीवन रग रग हिन्दु मेरा परिचय॥""",80,1076,6803,False,"New :

- India suspends all kinds of visas issued to Iran so far.

- Visas to all foreign nationals who have travelled to or from Iran from 1st Feb have also been canceled.

- No one allowed to enter India by flight or seaports.

#coronavirus."
2020-03-01 00:25:19+00:00,Morning in China... https://t.co/jVLtmC7jVe,anandkjha27,mumbai india,Mariner Of Sea....,84,83,502,False,
2020-03-01 00:25:39+00:00,"RT @AgentSaffron: It's been a horrible 2 months for Iran.

Top General Eliminated.

Protests

Earthquakes

Tanked economy

Now Coronavirus.…",malapati,india,"Passionate Supporter of Integral Humanism

Have been blocking Chinese/Jihadi products from 2015 at least.  You?",337,651,154590,False,"It's been a horrible 2 months for Iran.

Top General Eliminated.

Protests

Earthquakes

Tanked economy

Now Coronavirus.. 

Iran is crucial to many of India's strategic plans in the region."
2020-03-01 00:26:25+00:00,"Coronavirus: Decreased in China, increased infected in other countries, 2934 deaths worldwide https://t.co/w9lV56vsga https://t.co/OJ3rjjL2R1",NewsBaba4,anand india,Latest Indian news and Breaking news,40,2,28617,False,
2020-03-01 00:26:33+00:00,How to prepare for a coronavirus pandemic https://t.co/0WtPnZRTQx https://t.co/meC4kSuWxG,KabirKh05653012,mumbai india,"Manager - Corporate and Investment Banking by profession. 
Dog Lover, Swimming, Fitness - Gym",6,33,1362,False,
2020-03-01 00:28:17+00:00,"Symptoms, transmission, pandemic: everything you need to know about https://t.co/POIMLYl7ik",EasternHerald,india,India's first international news journal. Bringing news from around the world. Protecting democracy and promoting free speech.,175,9,6769,False,
2020-03-01 00:28:39+00:00,F.D.A. Expands Coronavirus Testing in the United States https://t.co/3ckMq2q74K,somsirsa,chandigarh india,"Technophile, AI Faculty, Mental Health Advocate, @JUFET alum, 

Appointments at 👉
https://t.co/BzXQ3mIfBS",785,1695,391578,False,
2020-03-01 00:28:43+00:00,"@KTRTRS 
Sir, With the #Coronavirus assuming gigantic scale, this Colony with unregulated hospitals/patients from abroad could be a trouble spot. As usual the Bureaucracy is sleeping. Please push them into some Pro-active Action? https://t.co/v94VzC55Yi",FreyaTempleton,goa india,"Passionate and Compassionate. About everything. Health for everyone. Quality of life, Abstract art, and Bikes, Chess. That's my life🙉",5,109,638,False,
2020-03-01 00:29:06+00:00,Losers https://t.co/nO7aH5Z1Te,nayagam_p,india,RTs are not Endorsements | सत्यमेव जयते | 💙,198,987,26357,False,
